"","time","well","row","col","value","condition"
"1","0","A1","A","1","866","A"
"2","0","A2","A","2","793","A"
"3","0","A3","A","3","795","A"
"4","0","A4","A","4","788","B"
"5","0","A5","A","5","782","B"
"6","0","A6","A","6","829","B"
"7","0","A7","A","7","804","C"
"8","0","A8","A","8","737","C"
"9","0","A9","A","9","763","C"
"10","0.333333333333333","A1","A","1","839","A"
"11","0.333333333333333","A2","A","2","784","A"
"12","0.333333333333333","A3","A","3","771","A"
"13","0.333333333333333","A4","A","4","738","B"
"14","0.333333333333333","A5","A","5","762","B"
"15","0.333333333333333","A6","A","6","787","B"
"16","0.333333333333333","A7","A","7","778","C"
"17","0.333333333333333","A8","A","8","691","C"
"18","0.333333333333333","A9","A","9","756","C"
"19","0.666666666666667","A1","A","1","812","A"
"20","0.666666666666667","A2","A","2","761","A"
"21","0.666666666666667","A3","A","3","742","A"
"22","0.666666666666667","A4","A","4","721","B"
"23","0.666666666666667","A5","A","5","715","B"
"24","0.666666666666667","A6","A","6","764","B"
"25","0.666666666666667","A7","A","7","742","C"
"26","0.666666666666667","A8","A","8","663","C"
"27","0.666666666666667","A9","A","9","719","C"
"28","1","A1","A","1","814","A"
"29","1","A2","A","2","765","A"
"30","1","A3","A","3","737","A"
"31","1","A4","A","4","710","B"
"32","1","A5","A","5","718","B"
"33","1","A6","A","6","735","B"
"34","1","A7","A","7","693","C"
"35","1","A8","A","8","639","C"
"36","1","A9","A","9","698","C"
"37","1.33333333333333","A1","A","1","795","A"
"38","1.33333333333333","A2","A","2","756","A"
"39","1.33333333333333","A3","A","3","747","A"
"40","1.33333333333333","A4","A","4","692","B"
"41","1.33333333333333","A5","A","5","716","B"
"42","1.33333333333333","A6","A","6","727","B"
"43","1.33333333333333","A7","A","7","704","C"
"44","1.33333333333333","A8","A","8","623","C"
"45","1.33333333333333","A9","A","9","673","C"
"46","1.66666666666667","A1","A","1","847","A"
"47","1.66666666666667","A2","A","2","777","A"
"48","1.66666666666667","A3","A","3","754","A"
"49","1.66666666666667","A4","A","4","695","B"
"50","1.66666666666667","A5","A","5","723","B"
"51","1.66666666666667","A6","A","6","738","B"
"52","1.66666666666667","A7","A","7","698","C"
"53","1.66666666666667","A8","A","8","639","C"
"54","1.66666666666667","A9","A","9","674","C"
"55","2","A1","A","1","859","A"
"56","2","A2","A","2","778","A"
"57","2","A3","A","3","784","A"
"58","2","A4","A","4","699","B"
"59","2","A5","A","5","709","B"
"60","2","A6","A","6","744","B"
"61","2","A7","A","7","694","C"
"62","2","A8","A","8","632","C"
"63","2","A9","A","9","684","C"
"64","2.33333333333333","A1","A","1","868","A"
"65","2.33333333333333","A2","A","2","805","A"
"66","2.33333333333333","A3","A","3","796","A"
"67","2.33333333333333","A4","A","4","736","B"
"68","2.33333333333333","A5","A","5","727","B"
