"","time","well","row","col","value","condition"
"1","0","A1","A","1","100","A"
"2","0","A2","A","2","100","A"
"3","0","A3","A","3","100","A"
"4","0","A4","A","4","100","B"
"5","0","A5","A","5","100","B"
"6","0","A6","A","6","100","B"
"7","0","A7","A","7","100","C"
"8","0","A8","A","8","100","C"
"9","0","A9","A","9","100","C"
"10","0","A10","A","10","100","D"
"11","0","A11","A","11","100","D"
"12","0","A12","A","12","100","D"
"13","0","B1","B","1","100","E"
"14","0","B2","B","2","100","E"
"15","0","B3","B","3","100","E"
"16","0","B4","B","4","100","F"
"17","0","B5","B","5","100","F"
"18","0","B6","B","6","100","F"
"19","0","B7","B","7","100","G"
"20","0","B8","B","8","100","G"
"21","0","B9","B","9","100","G"
"22","0","B10","B","10","100","H"
"23","0","B11","B","11","100","H"
"24","0","B12","B","12","100","H"
"25","0.333333333333333","A1","A","1","100.456621004566","A"
"26","0.333333333333333","A2","A","2","100.609756097561","A"
"27","0.333333333333333","A3","A","3","100.461538461538","A"
"28","0.333333333333333","A4","A","4","101.226158038147","B"
"29","0.333333333333333","A5","A","5","100.269905533063","B"
"30","0.333333333333333","A6","A","6","100.273224043716","B"
"31","0.333333333333333","A7","A","7","99.8659517426273","C"
"32","0.333333333333333","A8","A","8","100","C"
"33","0.333333333333333","A9","A","9","99.6031746031746","C"
"34","0.333333333333333","A10","A","10","98.6128625472888","D"
"35","0.333333333333333","A11","A","11","98.6318407960199","D"
"36","0.333333333333333","A12","A","12","97.8453738910013","D"
"37","0.333333333333333","B1","B","1","100.93896713615","E"
"38","0.333333333333333","B2","B","2","101.234567901235","E"
"39","0.333333333333333","B3","B","3","100.925925925926","E"
"40","0.333333333333333","B4","B","4","100.616332819723","F"
"41","0.333333333333333","B5","B","5","100.611620795107","F"
"42","0.333333333333333","B6","B","6","100.621118012422","F"
"43","0.333333333333333","B7","B","7","100.157480314961","G"
"44","0.333333333333333","B8","B","8","100","G"
"45","0.333333333333333","B9","B","9","100","G"
"46","0.333333333333333","B10","B","10","100","H"
"47","0.333333333333333","B11","B","11","100","H"
"48","0.333333333333333","B12","B","12","99.5222929936306","H"
"49","0.666666666666667","A1","A","1","100.456621004566","A"
"50","0.666666666666667","A2","A","2","101.067073170732","A"
"51","0.666666666666667","A3","A","3","100.769230769231","A"
"52","0.666666666666667","A4","A","4","100.817438692098","B"
"53","0.666666666666667","A5","A","5","100","B"
"54","0.666666666666667","A6","A","6","99.7267759562842","B"
"55","0.666666666666667","A7","A","7","100.134048257373","C"
"56","0.666666666666667","A8","A","8","100.65963060686","C"
"57","0.666666666666667","A9","A","9","99.8677248677249","C"
"58","0.666666666666667","A10","A","10","98.234552332913","D"
"59","0.666666666666667","A11","A","11","98.0099502487562","D"
"60","0.666666666666667","A12","A","12","97.4651457541191","D"
"61","0.666666666666667","B1","B","1","100.782472613459","E"
"62","0.666666666666667","B2","B","2","101.543209876543","E"
"63","0.666666666666667","B3","B","3","101.234567901235","E"
"64","0.666666666666667","B4","B","4","100.616332819723","F"
"65","0.666666666666667","B5","B","5","100.764525993884","F"
"66","0.666666666666667","B6","B","6","100.465838509317","F"
"67","0.666666666666667","B7","B","7","99.5275590551181","G"
"68","0.666666666666667","B8","B","8","99.5391705069124","G"
"69","0.666666666666667","B9","B","9","99.3855606758833","G"
"70","0.666666666666667","B10","B","10","99.075500770416","H"
"71","0.666666666666667","B11","B","11","99.236641221374","H"
"72","0.666666666666667","B12","B","12","98.4076433121019","H"
"73","1","A1","A","1","100.76103500761","A"
"74","1","A2","A","2","101.067073170732","A"
"75","1","A3","A","3","101.076923076923","A"
"76","1","A4","A","4","100.136239782016","B"
