"","time","well","row","col","value","condition"
"1","0","A1","A","1","606","A"
"2","0","A2","A","2","605","A"
"3","0","A3","A","3","608","A"
"4","0","A4","A","4","483","B"
"5","0","A5","A","5","470","B"
"6","0","A6","A","6","487","B"
"7","0","A7","A","7","488","C"
"8","0","A8","A","8","458","C"
"9","0","A9","A","9","478","C"
"10","0","A10","A","10","426","D"
"11","0","A11","A","11","421","D"
"12","0","A12","A","12","436","D"
"13","0","B1","B","1","624","E"
"14","0","B2","B","2","599","E"
"15","0","B3","B","3","587","E"
"16","0","B4","B","4","625","F"
"17","0","B5","B","5","611","F"
"18","0","B6","B","6","618","F"
"19","0","B7","B","7","628","G"
"20","0","B8","B","8","631","G"
"21","0","B9","B","9","602","G"
"22","0","B10","B","10","619","H"
"23","0","B11","B","11","609","H"
"24","0","B12","B","12","655","H"
"25","0.333333333333333","A1","A","1","623","A"
"26","0.333333333333333","A2","A","2","605","A"
"27","0.333333333333333","A3","A","3","622","A"
"28","0.333333333333333","A4","A","4","474","B"
"29","0.333333333333333","A5","A","5","488","B"
"30","0.333333333333333","A6","A","6","495","B"
"31","0.333333333333333","A7","A","7","483","C"
"32","0.333333333333333","A8","A","8","469","C"
"33","0.333333333333333","A9","A","9","470","C"
"34","0.333333333333333","A10","A","10","451","D"
"35","0.333333333333333","A11","A","11","439","D"
"36","0.333333333333333","A12","A","12","450","D"
"37","0.333333333333333","B1","B","1","630","E"
"38","0.333333333333333","B2","B","2","618","E"
"39","0.333333333333333","B3","B","3","600","E"
"40","0.333333333333333","B4","B","4","629","F"
"41","0.333333333333333","B5","B","5","615","F"
"42","0.333333333333333","B6","B","6","629","F"
"43","0.333333333333333","B7","B","7","666","G"
"44","0.333333333333333","B8","B","8","639","G"
"45","0.333333333333333","B9","B","9","627","G"
"46","0.333333333333333","B10","B","10","633","H"
"47","0.333333333333333","B11","B","11","617","H"
"48","0.333333333333333","B12","B","12","692","H"
"49","0.666666666666667","A1","A","1","612","A"
"50","0.666666666666667","A2","A","2","583","A"
"51","0.666666666666667","A3","A","3","593","A"
"52","0.666666666666667","A4","A","4","477","B"
"53","0.666666666666667","A5","A","5","475","B"
"54","0.666666666666667","A6","A","6","478","B"
"55","0.666666666666667","A7","A","7","483","C"
"56","0.666666666666667","A8","A","8","447","C"
"57","0.666666666666667","A9","A","9","457","C"
"58","0.666666666666667","A10","A","10","455","D"
"59","0.666666666666667","A11","A","11","414","D"
"60","0.666666666666667","A12","A","12","445","D"
"61","0.666666666666667","B1","B","1","610","E"
"62","0.666666666666667","B2","B","2","581","E"
"63","0.666666666666667","B3","B","3","574","E"
"64","0.666666666666667","B4","B","4","606","F"
"65","0.666666666666667","B5","B","5","600","F"
"66","0.666666666666667","B6","B","6","602","F"
"67","0.666666666666667","B7","B","7","641","G"
"68","0.666666666666667","B8","B","8","625","G"
"69","0.666666666666667","B9","B","9","633","G"
"70","0.666666666666667","B10","B","10","641","H"
"71","0.666666666666667","B11","B","11","621","H"
"72","0.666666666666667","B12","B","12","686","H"
"73","1","A1","A","1","615","A"
"74","1","A2","A","2","593","A"
"75","1","A3","A","3","615","A"
"76","1","A4","A","4","477","B"
"77","1","A5","A","5","477","B"
"78","1","A6","A","6","488","B"
"79","1","A7","A","7","467","C"
"80","1","A8","A","8","447","C"
"81","1","A9","A","9","449","C"
"82","1","A10","A","10","458","D"
"83","1","A11","A","11","430","D"
"84","1","A12","A","12","435","D"
"85","1","B1","B","1","622","E"
"86","1","B2","B","2","575","E"
"87","1","B3","B","3","577","E"
"88","1","B4","B","4","634","F"
"89","1","B5","B","5","589","F"
"90","1","B6","B","6","623","F"
"91","1","B7","B","7","671","G"
