"","time","well","row","col","value","condition"
"1","0","A1","A","1","696","A"
"2","0","A2","A","2","728","A"
"3","0","A3","A","3","727","A"
"4","0","A4","A","4","674","B"
"5","0","A5","A","5","710","B"
"6","0","A6","A","6","729","B"
"7","0","A7","A","7","780","C"
"8","0","A8","A","8","672","C"
"9","0","A9","A","9","713","C"
"10","0","A10","A","10","778","D"
"11","0","A11","A","11","681","D"
"12","0","A12","A","12","700","D"
"13","0","B1","B","1","674","E"
"14","0","B2","B","2","589","E"
"15","0","B3","B","3","636","E"
"16","0","B4","B","4","526","F"
"17","0","B5","B","5","631","F"
"18","0","B6","B","6","672","F"
"19","0","C1","C","1","710","G"
"20","0","C2","C","2","626","G"
"21","0","C3","C","3","617","G"
"22","0","C4","C","4","612","H"
"23","0","C5","C","5","581","H"
"24","0","C6","C","6","649","H"
"25","0","C7","C","7","687","I"
"26","0","C8","C","8","626","I"
"27","0","C9","C","9","588","I"
"28","0","C10","C","10","573","J"
"29","0","C11","C","11","641","J"
"30","0","C12","C","12","762","J"
"31","0.333333333333333","A1","A","1","679","A"
"32","0.333333333333333","A2","A","2","714","A"
"33","0.333333333333333","A3","A","3","705","A"
"34","0.333333333333333","A4","A","4","641","B"
"35","0.333333333333333","A5","A","5","677","B"
"36","0.333333333333333","A6","A","6","716","B"
"37","0.333333333333333","A7","A","7","758","C"
"38","0.333333333333333","A8","A","8","668","C"
"39","0.333333333333333","A9","A","9","710","C"
"40","0.333333333333333","A10","A","10","765","D"
"41","0.333333333333333","A11","A","11","660","D"
"42","0.333333333333333","A12","A","12","678","D"
"43","0.333333333333333","B1","B","1","656","E"
"44","0.333333333333333","B2","B","2","600","E"
"45","0.333333333333333","B3","B","3","630","E"
"46","0.333333333333333","B4","B","4","538","F"
"47","0.333333333333333","B5","B","5","634","F"
"48","0.333333333333333","B6","B","6","682","F"
"49","0.333333333333333","C1","C","1","696","G"
"50","0.333333333333333","C2","C","2","623","G"
"51","0.333333333333333","C3","C","3","617","G"
"52","0.333333333333333","C4","C","4","615","H"
"53","0.333333333333333","C5","C","5","578","H"
"54","0.333333333333333","C6","C","6","665","H"
"55","0.333333333333333","C7","C","7","677","I"
"56","0.333333333333333","C8","C","8","633","I"
"57","0.333333333333333","C9","C","9","597","I"
"58","0.333333333333333","C10","C","10","551","J"
"59","0.333333333333333","C11","C","11","627","J"
"60","0.333333333333333","C12","C","12","734","J"
"61","0.666666666666667","A1","A","1","633","A"
"62","0.666666666666667","A2","A","2","706","A"
"63","0.666666666666667","A3","A","3","691","A"
