"","time","well","row","col","value","condition"
"1","0","A1","A","1","568","A"
"2","0","A2","A","2","546","A"
"3","0","A3","A","3","565","A"
"4","0","A4","A","4","548","B"
"5","0","A5","A","5","553","B"
"6","0","A6","A","6","612","B"
"7","0","A7","A","7","557","C"
"8","0","A8","A","8","558","C"
"9","0","A9","A","9","554","C"
"10","0","A10","A","10","552","D"
"11","0","A11","A","11","546","D"
"12","0","A12","A","12","603","D"
"13","0","B1","B","1","557","E"
"14","0","B2","B","2","542","E"
"15","0","B3","B","3","581","E"
"16","0","B4","B","4","538","F"
"17","0","B5","B","5","576","F"
"18","0","B6","B","6","607","F"
"19","0","C1","C","1","568","G"
"20","0","C2","C","2","545","G"
"21","0","C3","C","3","1087",""
"22","0","C4","C","4","591","H"
"23","0","C5","C","5","540","H"
"24","0","C6","C","6","587","H"
"25","0","C7","C","7","597","I"
"26","0","C8","C","8","496","I"
"27","0","C9","C","9","554","I"
"28","0","C10","C","10","608","J"
"29","0","C11","C","11","546","J"
"30","0","C12","C","12","598","J"
"31","0.333333333333333","A1","A","1","577","A"
"32","0.333333333333333","A2","A","2","545","A"
"33","0.333333333333333","A3","A","3","576","A"
"34","0.333333333333333","A4","A","4","554","B"
"35","0.333333333333333","A5","A","5","569","B"
"36","0.333333333333333","A6","A","6","600","B"
"37","0.333333333333333","A7","A","7","569","C"
"38","0.333333333333333","A8","A","8","562","C"
"39","0.333333333333333","A9","A","9","592","C"
"40","0.333333333333333","A10","A","10","546","D"
"41","0.333333333333333","A11","A","11","545","D"
"42","0.333333333333333","A12","A","12","594","D"
"43","0.333333333333333","B1","B","1","560","E"
"44","0.333333333333333","B2","B","2","564","E"
"45","0.333333333333333","B3","B","3","567","E"
"46","0.333333333333333","B4","B","4","560","F"
"47","0.333333333333333","B5","B","5","573","F"
"48","0.333333333333333","B6","B","6","617","F"
"49","0.333333333333333","C1","C","1","585","G"
"50","0.333333333333333","C2","C","2","552","G"
"51","0.333333333333333","C3","C","3","1040",""
"52","0.333333333333333","C4","C","4","582","H"
"53","0.333333333333333","C5","C","5","548","H"
"54","0.333333333333333","C6","C","6","569","H"
"55","0.333333333333333","C7","C","7","564","I"
"56","0.333333333333333","C8","C","8","502","I"
"57","0.333333333333333","C9","C","9","569","I"
"58","0.333333333333333","C10","C","10","599","J"
"59","0.333333333333333","C11","C","11","549","J"
"60","0.333333333333333","C12","C","12","593","J"
"61","0.666666666666667","A1","A","1","572","A"
"62","0.666666666666667","A2","A","2","541","A"
"63","0.666666666666667","A3","A","3","568","A"
"64","0.666666666666667","A4","A","4","552","B"
"65","0.666666666666667","A5","A","5","568","B"
"66","0.666666666666667","A6","A","6","602","B"
"67","0.666666666666667","A7","A","7","573","C"
"68","0.666666666666667","A8","A","8","571","C"
"69","0.666666666666667","A9","A","9","616","C"
"70","0.666666666666667","A10","A","10","546","D"
"71","0.666666666666667","A11","A","11","546","D"
"72","0.666666666666667","A12","A","12","600","D"
"73","0.666666666666667","B1","B","1","548","E"
"74","0.666666666666667","B2","B","2","545","E"
"75","0.666666666666667","B3","B","3","558","E"
"76","0.666666666666667","B4","B","4","541","F"
"77","0.666666666666667","B5","B","5","558","F"
"78","0.666666666666667","B6","B","6","595","F"
"79","0.666666666666667","C1","C","1","582","G"
"80","0.666666666666667","C2","C","2","564","G"
"81","0.666666666666667","C3","C","3","1046",""
"82","0.666666666666667","C4","C","4","568","H"
"83","0.666666666666667","C5","C","5","548","H"
"84","0.666666666666667","C6","C","6","602","H"
"85","0.666666666666667","C7","C","7","578","I"
"86","0.666666666666667","C8","C","8","491","I"
"87","0.666666666666667","C9","C","9","543","I"
"88","0.666666666666667","C10","C","10","575","J"
"89","0.666666666666667","C11","C","11","550","J"
"90","0.666666666666667","C12","C","12","589","J"
"91","1","A1","A","1","565","A"
"92","1","A2","A","2","537","A"
"93","1","A3","A","3","563","A"
"94","1","A4","A","4","555","B"
"95","1","A5","A","5","564","B"
"96","1","A6","A","6","617","B"
"97","1","A7","A","7","589","C"
"98","1","A8","A","8","572","C"
"99","1","A9","A","9","590","C"
"100","1","A10","A","10","571","D"
"101","1","A11","A","11","568","D"
"102","1","A12","A","12","642","D"
"103","1","B1","B","1","554","E"
"104","1","B2","B","2","549","E"
"105","1","B3","B","3","565","E"
"106","1","B4","B","4","536","F"
"107","1","B5","B","5","566","F"
"108","1","B6","B","6","592","F"
"109","1","C1","C","1","581","G"
"110","1","C2","C","2","556","G"
"111","1","C3","C","3","1050",""
"112","1","C4","C","4","557","H"
"113","1","C5","C","5","536","H"
"114","1","C6","C","6","553","H"
"115","1","C7","C","7","576","I"
"116","1","C8","C","8","493","I"
"117","1","C9","C","9","552","I"
"118","1","C10","C","10","579","J"
"119","1","C11","C","11","551","J"
"120","1","C12","C","12","600","J"
"121","1.33333333333333","A1","A","1","583","A"
"122","1.33333333333333","A2","A","2","536","A"
"123","1.33333333333333","A3","A","3","570","A"
"124","1.33333333333333","A4","A","4","561","B"
"125","1.33333333333333","A5","A","5","585","B"
"126","1.33333333333333","A6","A","6","600","B"
"127","1.33333333333333","A7","A","7","578","C"
"128","1.33333333333333","A8","A","8","577","C"
"129","1.33333333333333","A9","A","9","600","C"
"130","1.33333333333333","A10","A","10","588","D"
"131","1.33333333333333","A11","A","11","579","D"
"132","1.33333333333333","A12","A","12","627","D"
"133","1.33333333333333","B1","B","1","574","E"
"134","1.33333333333333","B2","B","2","561","E"
"135","1.33333333333333","B3","B","3","580","E"
"136","1.33333333333333","B4","B","4","544","F"
"137","1.33333333333333","B5","B","5","571","F"
"138","1.33333333333333","B6","B","6","599","F"
"139","1.33333333333333","C1","C","1","578","G"
"140","1.33333333333333","C2","C","2","553","G"
"141","1.33333333333333","C3","C","3","1045",""
"142","1.33333333333333","C4","C","4","554","H"
"143","1.33333333333333","C5","C","5","503","H"
"144","1.33333333333333","C6","C","6","540","H"
"145","1.33333333333333","C7","C","7","571","I"
"146","1.33333333333333","C8","C","8","476","I"
"147","1.33333333333333","C9","C","9","574","I"
"148","1.33333333333333","C10","C","10","586","J"
"149","1.33333333333333","C11","C","11","550","J"
"150","1.33333333333333","C12","C","12","597","J"
"151","1.66666666666667","A1","A","1","578","A"
"152","1.66666666666667","A2","A","2","549","A"
"153","1.66666666666667","A3","A","3","588","A"
"154","1.66666666666667","A4","A","4","585","B"
"155","1.66666666666667","A5","A","5","597","B"
